,904306.3.peg.244,904306.3.peg.90,904306.3.peg.1884,904306.3.peg.752,904306.3.peg.1830,904306.3.peg.135,904306.3.peg.353,904306.3.peg.240,904306.3.peg.1338,904306.3.peg.1927,904306.3.peg.1979
Streptococcus vestibularis_gapfilled_371,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_412,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_982,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_892,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_337,True,False,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_485,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_984,True,False,True,True,False,False,False,False,True,False,False
Streptococcus vestibularis_gapfilled_182,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_240,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_658,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_567,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_713,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_164,False,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_415,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_249,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_43,False,False,False,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_787,True,True,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_474,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_41,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_736,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_671,False,True,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_530,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_602,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_238,False,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_302,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_65,True,False,True,True,True,True,False,True,False,True,False
Streptococcus vestibularis_gapfilled_82,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_209,True,False,True,False,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_430,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_17,True,False,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_114,True,False,True,True,True,True,False,True,False,True,True
Streptococcus vestibularis_gapfilled_737,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_904,True,False,True,True,False,False,False,True,False,False,True
Streptococcus vestibularis_gapfilled_965,False,False,True,True,True,False,True,True,False,True,True
Streptococcus vestibularis_gapfilled_46,False,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_118,True,False,True,True,False,False,False,False,True,False,False
Streptococcus vestibularis_gapfilled_32,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_111,True,False,True,True,False,False,False,False,False,False,True
Streptococcus vestibularis_gapfilled_855,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_818,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_546,False,True,True,True,True,True,False,False,True,True,False
Streptococcus vestibularis_gapfilled_294,True,False,True,False,True,False,False,False,True,True,True
Streptococcus vestibularis_gapfilled_110,True,False,True,True,False,False,False,True,False,False,True
Streptococcus vestibularis_gapfilled_143,True,False,False,True,False,False,False,False,True,False,False
Streptococcus vestibularis_gapfilled_948,True,False,True,True,True,True,False,True,False,True,False
Streptococcus vestibularis_gapfilled_992,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_455,True,False,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_974,True,False,True,True,False,True,False,True,False,False,True
Streptococcus vestibularis_gapfilled_604,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_148,True,False,True,True,True,False,False,True,False,True,False
Streptococcus vestibularis_gapfilled_957,True,False,True,True,False,False,True,False,False,False,True
Streptococcus vestibularis_gapfilled_593,True,False,True,True,False,False,False,True,False,False,True
Streptococcus vestibularis_gapfilled_568,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_59,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_795,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_889,True,False,True,True,False,False,True,False,False,False,False
Streptococcus vestibularis_gapfilled_212,True,False,True,True,False,False,False,False,True,False,False
Streptococcus vestibularis_gapfilled_816,True,False,True,True,False,False,False,False,False,False,True
Streptococcus vestibularis_gapfilled_832,True,False,True,True,True,False,False,True,False,True,True
Streptococcus vestibularis_gapfilled_926,True,False,True,True,False,True,False,False,True,False,True
Streptococcus vestibularis_gapfilled_619,True,False,True,True,False,True,False,True,False,False,True
Streptococcus vestibularis_gapfilled_29,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_748,True,False,True,True,True,True,False,True,False,True,True
Streptococcus vestibularis_gapfilled_798,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_777,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_650,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_375,True,False,True,True,False,True,False,False,True,False,True
Streptococcus vestibularis_gapfilled_320,True,False,True,False,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_905,True,True,True,False,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_554,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_521,True,False,True,True,False,False,False,True,False,False,True
Streptococcus vestibularis_gapfilled_358,True,False,True,True,False,True,True,True,False,False,True
Streptococcus vestibularis_gapfilled_327,False,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_495,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_125,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_822,True,False,True,True,True,False,False,True,False,True,False
Streptococcus vestibularis_gapfilled_682,True,False,True,True,True,False,False,True,False,True,False
Streptococcus vestibularis_gapfilled_956,True,False,False,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_241,True,False,False,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_691,True,False,True,True,True,True,False,True,False,True,False
Streptococcus vestibularis_gapfilled_500,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_447,True,False,False,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_87,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_213,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_303,True,False,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_582,False,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_270,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_880,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_876,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_741,True,False,False,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_519,True,False,False,True,False,True,True,False,False,False,True
Streptococcus vestibularis_gapfilled_224,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_237,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_419,True,False,True,False,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_239,False,False,True,True,True,True,False,True,False,True,True
Streptococcus vestibularis_gapfilled_242,True,False,True,True,False,False,False,False,False,False,True
Streptococcus vestibularis_gapfilled_103,True,False,True,True,True,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_989,True,False,False,True,False,False,False,False,True,False,False
Streptococcus vestibularis_gapfilled_768,True,False,True,True,False,False,False,False,False,False,True
Streptococcus vestibularis_gapfilled_509,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_746,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_269,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_938,True,False,True,True,False,True,True,True,False,False,False
Streptococcus vestibularis_gapfilled_304,True,False,False,True,False,False,False,False,False,False,True
Streptococcus vestibularis_gapfilled_643,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_875,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_498,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_499,True,False,False,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_406,True,True,True,False,True,False,False,False,True,True,False
Streptococcus vestibularis_gapfilled_228,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_715,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_285,True,False,False,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_502,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_37,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_753,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_300,False,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_632,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_616,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_725,True,False,True,True,False,False,False,False,True,False,False
Streptococcus vestibularis_gapfilled_525,True,False,True,True,False,True,False,True,False,False,True
Streptococcus vestibularis_gapfilled_877,True,False,False,True,False,False,False,False,True,False,False
Streptococcus vestibularis_gapfilled_927,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_451,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_3,True,False,False,False,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_799,True,False,False,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_955,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_972,True,False,True,True,False,True,True,True,False,False,True
Streptococcus vestibularis_gapfilled_839,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_993,True,False,True,True,True,False,False,True,False,True,True
Streptococcus vestibularis_gapfilled_283,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_707,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_352,True,False,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_817,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_335,True,False,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_963,False,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_863,True,False,False,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_545,True,True,True,False,True,False,False,False,False,True,True
Streptococcus vestibularis_gapfilled_71,True,False,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_815,True,False,False,True,False,False,False,False,True,False,False
Streptococcus vestibularis_gapfilled_66,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_265,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_236,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_674,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_308,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_468,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_183,True,False,False,True,False,False,False,False,False,False,True
Streptococcus vestibularis_gapfilled_202,True,True,True,True,True,False,True,False,True,True,False
Streptococcus vestibularis_gapfilled_911,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_259,False,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_56,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_879,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_778,True,False,False,True,False,False,False,False,False,False,True
Streptococcus vestibularis_gapfilled_469,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_267,True,False,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_94,True,False,True,True,False,True,False,True,False,False,True
Streptococcus vestibularis_gapfilled_654,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_792,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_575,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_395,True,False,False,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_680,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_732,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_247,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_940,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_292,True,False,True,True,False,True,False,False,True,False,True
Streptococcus vestibularis_gapfilled_231,True,False,True,True,False,True,False,True,False,False,True
Streptococcus vestibularis_gapfilled_578,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_666,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_38,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_186,True,False,True,True,False,True,False,True,False,False,True
Streptococcus vestibularis_gapfilled_473,True,False,True,True,False,False,False,True,False,False,True
Streptococcus vestibularis_gapfilled_517,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_49,False,False,True,True,False,True,False,True,False,False,True
Streptococcus vestibularis_gapfilled_74,False,False,True,True,True,True,False,True,False,True,False
Streptococcus vestibularis_gapfilled_313,False,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_851,True,False,True,True,False,True,True,False,True,False,False
Streptococcus vestibularis_gapfilled_857,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_4,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_739,True,False,True,True,False,False,False,True,False,False,True
Streptococcus vestibularis_gapfilled_393,True,False,True,True,False,False,False,False,True,False,False
Streptococcus vestibularis_gapfilled_665,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_967,True,True,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_444,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_896,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_612,True,False,True,False,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_197,True,False,True,True,True,False,False,False,False,True,True
Streptococcus vestibularis_gapfilled_81,True,False,True,True,False,True,False,False,True,False,True
Streptococcus vestibularis_gapfilled_542,True,False,False,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_2,True,False,True,True,True,False,False,False,False,True,True
Streptococcus vestibularis_gapfilled_540,True,False,False,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_322,True,True,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_366,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_686,True,False,False,True,False,False,True,False,False,False,True
Streptococcus vestibularis_gapfilled_138,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_913,True,False,False,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_394,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_484,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_881,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_188,False,False,True,True,True,False,True,False,False,True,False
Streptococcus vestibularis_gapfilled_61,True,False,False,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_84,True,True,True,True,True,True,False,False,True,True,False
Streptococcus vestibularis_gapfilled_971,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_386,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_136,True,False,True,False,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_885,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_918,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_54,False,True,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_159,False,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_338,True,False,True,True,False,True,True,True,False,False,True
Streptococcus vestibularis_gapfilled_194,True,False,True,True,False,True,False,False,True,False,True
Streptococcus vestibularis_gapfilled_869,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_289,True,False,True,True,True,False,False,True,False,True,False
Streptococcus vestibularis_gapfilled_272,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_489,True,False,True,True,False,True,False,True,False,False,True
Streptococcus vestibularis_gapfilled_42,False,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_459,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_647,True,False,False,True,False,False,False,False,True,False,False
Streptococcus vestibularis_gapfilled_694,True,False,True,True,False,False,False,True,False,False,True
Streptococcus vestibularis_gapfilled_508,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_477,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_921,True,False,True,True,True,True,False,True,False,True,True
Streptococcus vestibularis_gapfilled_766,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_31,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_450,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_147,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_663,True,True,True,False,True,False,False,False,True,True,True
Streptococcus vestibularis_gapfilled_742,True,False,True,True,False,True,True,False,False,False,True
Streptococcus vestibularis_gapfilled_528,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_760,False,False,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_334,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_837,True,False,True,True,True,True,False,False,False,True,True
