# gapseq version: 1.2 54b56c7c
# Transporter sequence DB md5sum: b99a77e (2023-11-25)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	46.667	2.2	19.6	100	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	966791	966747	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	46.667	2.2	19.6	100	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	966791	966747	transporter
gnl|TC-DB|Q8TDX7|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8TDX7|1.I.1.1.3	29.213	2.76e-28	112	87	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	2274473	2275261	transporter
gnl|TC-DB|Q8EDB6|2.A.102.3.4	2.A.102.3.4	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|Q8EDB6|2.A.102.3.4	36.929	1.05e-33	126	87	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	151591	152304	transporter
gnl|TC-DB|Q8NLX4|2.A.102.4.8	2.A.102.4.8	sulfate	EX_cpd00048_e0	rxn05651,rxn12369,rxn12811,rxn13116,rxn34447,rxn34531,rxn05238,rxn31171,rxn31183,rxn32972,rxn32975,rxn34545	gnl|TC-DB|Q8NLX4|2.A.102.4.8	100.000	8.43e-153	470	100	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	2972760	2971834	transporter
gnl|TC-DB|P38857|2.A.105.1.1	2.A.105.1.1	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|P38857|2.A.105.1.1	24.167	3.1	24.6	82	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	1664531	1664196	transporter
gnl|TC-DB|P76264|2.A.107.1.1	2.A.107.1.1	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|P76264|2.A.107.1.1	40.411	3.33e-25	99.0	77	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	1550268	1550705	transporter
gnl|TC-DB|O27840|2.A.107.1.2	2.A.107.1.2	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|O27840|2.A.107.1.2	41.026	5.02e-27	103	81	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	1550247	1550714	transporter
gnl|TC-DB|WP_100324686.1|2.A.107.1.4	2.A.107.1.4	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_100324686.1|2.A.107.1.4	27.333	2.37e-07	47.0	76	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	1550253	1550696	transporter
gnl|TC-DB|WP_089030044.1|2.A.107.1.5	2.A.107.1.5	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_089030044.1|2.A.107.1.5	25.143	0.20	28.9	89	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	1550253	1550771	transporter
gnl|TC-DB|P31545|2.A.108.2.3	2.A.108.2.3	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|P31545|2.A.108.2.3	32.857	5.37e-53	188	97	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	1775329	1774133	transporter
gnl|TC-DB|P31545|2.A.108.2.3	2.A.108.2.3	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|P31545|2.A.108.2.3	32.857	5.37e-53	188	97	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	1775329	1774133	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	lactose	EX_cpd00208_e0	rxn08779,rxn08781,rxn10169	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	maltose	EX_cpd00179_e0	rxn09673	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.10	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.10	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.10	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|P46333|2.A.1.1.106	36.652	3.47e-79	265	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192041	190752	transporter
gnl|TC-DB|Q56ZZ7|2.A.1.1.102	2.A.1.1.102	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q56ZZ7|2.A.1.1.102	33.196	3.20e-54	195	86	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192179	190743	transporter
gnl|TC-DB|Q0WWW9|2.A.1.1.103	2.A.1.1.103	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|Q0WWW9|2.A.1.1.103	33.406	1.83e-53	193	81	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192062	190752	transporter
gnl|TC-DB|P30606|2.A.1.1.104	2.A.1.1.104	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|P30606|2.A.1.1.104	29.303	3.25e-44	167	78	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192083	190689	transporter
gnl|TC-DB|P32465|2.A.1.1.108	2.A.1.1.108	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P32465|2.A.1.1.108	29.508	2.09e-41	157	84	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192125	190737	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.11	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|C4B4V9|2.A.1.1.116	36.646	9.48e-77	259	99	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192176	190746	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.11	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|C4B4V9|2.A.1.1.116	36.646	9.48e-77	259	99	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192176	190746	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.11	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|C4B4V9|2.A.1.1.116	36.646	9.48e-77	259	99	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192176	190746	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.11	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|C4B4V9|2.A.1.1.116	36.646	9.48e-77	259	99	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192176	190746	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.11	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|C4B4V9|2.A.1.1.116	36.646	9.48e-77	259	99	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192176	190746	transporter
gnl|TC-DB|P23585|2.A.1.1.111	2.A.1.1.111	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P23585|2.A.1.1.111	28.800	1.79e-44	166	91	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192161	190740	transporter
gnl|TC-DB|Q9P3U6|2.A.1.1.112	2.A.1.1.112	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q9P3U6|2.A.1.1.112	25.974	6.20e-32	129	82	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192077	190758	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.116	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|C4B4V9|2.A.1.1.116	36.646	9.48e-77	259	99	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192176	190746	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.116	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|C4B4V9|2.A.1.1.116	36.646	9.48e-77	259	99	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192176	190746	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.116	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|C4B4V9|2.A.1.1.116	36.646	9.48e-77	259	99	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192176	190746	transporter
gnl|TC-DB|G4N740|2.A.1.1.117	2.A.1.1.117	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|G4N740|2.A.1.1.117	29.461	1.34e-41	157	85	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192131	190758	transporter
gnl|TC-DB|A2R3H2|2.A.1.1.119	2.A.1.1.119	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|A2R3H2|2.A.1.1.119	27.723	1.77e-35	139	93	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	3233323	3231905	transporter
gnl|TC-DB|AIU41385.1|2.A.1.1.123	2.A.1.1.12	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|AIU41385.1|2.A.1.1.123	31.405	1.64e-57	204	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192122	190761	transporter
gnl|TC-DB|AIU41385.1|2.A.1.1.123	2.A.1.1.12	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|AIU41385.1|2.A.1.1.123	31.405	1.64e-57	204	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192122	190761	transporter
gnl|TC-DB|AIU41385.1|2.A.1.1.123	2.A.1.1.12	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|AIU41385.1|2.A.1.1.123	31.405	1.64e-57	204	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192122	190761	transporter
gnl|TC-DB|AIU41385.1|2.A.1.1.123	2.A.1.1.12	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|AIU41385.1|2.A.1.1.123	31.405	1.64e-57	204	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192122	190761	transporter
gnl|TC-DB|AIU41385.1|2.A.1.1.123	2.A.1.1.12	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|AIU41385.1|2.A.1.1.123	31.405	1.64e-57	204	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192122	190761	transporter
gnl|TC-DB|AIU41385.1|2.A.1.1.123	2.A.1.1.12	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|TC-DB|AIU41385.1|2.A.1.1.123	31.405	1.64e-57	204	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192122	190761	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.120	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|E1WAV3|2.A.1.1.120	31.544	4.80e-54	192	96	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192062	190752	transporter
gnl|TC-DB|E1WAV4|2.A.1.1.121	2.A.1.1.121	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|E1WAV4|2.A.1.1.121	32.692	3.04e-52	187	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192104	190758	transporter
gnl|TC-DB|AGG19156.1|2.A.1.1.122	2.A.1.1.122	sorbitol	EX_cpd00588_e0	rxn05648	gnl|TC-DB|AGG19156.1|2.A.1.1.122	29.638	4.04e-54	193	91	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	3233284	3231905	transporter
gnl|TC-DB|AIU41385.1|2.A.1.1.123	2.A.1.1.123	sorbitol	EX_cpd00588_e0	rxn05648	gnl|TC-DB|AIU41385.1|2.A.1.1.123	31.405	1.64e-57	204	95	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192122	190761	transporter
gnl|TC-DB|Q9LT15|2.A.1.1.124	2.A.1.1.124	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|Q9LT15|2.A.1.1.124	30.064	1.09e-41	157	94	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192080	190764	transporter
gnl|TC-DB|Q9LT15|2.A.1.1.124	2.A.1.1.124	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q9LT15|2.A.1.1.124	30.064	1.09e-41	157	94	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192080	190764	transporter
gnl|TC-DB|Q9LT15|2.A.1.1.124	2.A.1.1.124	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|Q9LT15|2.A.1.1.124	30.064	1.09e-41	157	94	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192080	190764	transporter
gnl|TC-DB|C4QVV9|2.A.1.1.125	2.A.1.1.125	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|C4QVV9|2.A.1.1.125	27.233	3.89e-33	132	88	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192101	190761	transporter
gnl|TC-DB|A8DCT2|2.A.1.1.126	2.A.1.1.126	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|A8DCT2|2.A.1.1.126	31.767	1.16e-45	171	77	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192071	190761	transporter
gnl|TC-DB|A5Y0C3|2.A.1.1.128	2.A.1.1.128	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|A5Y0C3|2.A.1.1.128	26.338	1.19e-41	156	93	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192116	190752	transporter
gnl|TC-DB|I1M280|2.A.1.1.132	2.A.1.1.13	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|I1M280|2.A.1.1.132	30.879	2.53e-49	180	92	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192188	190755	transporter
gnl|TC-DB|I1M280|2.A.1.1.132	2.A.1.1.13	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|I1M280|2.A.1.1.132	30.879	2.53e-49	180	92	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192188	190755	transporter
gnl|TC-DB|I1M280|2.A.1.1.132	2.A.1.1.13	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|I1M280|2.A.1.1.132	30.879	2.53e-49	180	92	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192188	190755	transporter
gnl|TC-DB|I1M280|2.A.1.1.132	2.A.1.1.13	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|I1M280|2.A.1.1.132	30.879	2.53e-49	180	92	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192188	190755	transporter
gnl|TC-DB|I1M280|2.A.1.1.132	2.A.1.1.13	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|I1M280|2.A.1.1.132	30.879	2.53e-49	180	92	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192188	190755	transporter
gnl|TC-DB|I1M280|2.A.1.1.132	2.A.1.1.13	maltose	EX_cpd00179_e0	rxn09673	gnl|TC-DB|I1M280|2.A.1.1.132	30.879	2.53e-49	180	92	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192188	190755	transporter
gnl|TC-DB|I1M280|2.A.1.1.132	2.A.1.1.13	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|I1M280|2.A.1.1.132	30.879	2.53e-49	180	92	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192188	190755	transporter
gnl|TC-DB|I1M280|2.A.1.1.132	2.A.1.1.13	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|I1M280|2.A.1.1.132	30.879	2.53e-49	180	92	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192188	190755	transporter
gnl|TC-DB|Q8DUC7|2.A.11.1.3	2.A.11.1.3	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|Q8DUC7|2.A.11.1.3	32.470	1.80e-67	231	94	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	70211	68799	transporter
gnl|TC-DB|Q8DUC7|2.A.11.1.3	2.A.11.1.3	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|Q8DUC7|2.A.11.1.3	32.470	1.80e-67	231	94	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	70211	68799	transporter
gnl|TC-DB|Q8DUC7|2.A.11.1.3	2.A.11.1.3	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|Q8DUC7|2.A.11.1.3	32.470	1.80e-67	231	94	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	70211	68799	transporter
gnl|TC-DB|Q63ZP5|2.A.1.1.130	2.A.1.1.130	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q63ZP5|2.A.1.1.130	25.478	3.84e-31	125	94	BX927147.1 Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5, complete genome	192095	190743	transporter
